馃嚚馃嚦澶鈻閬�,#genre#
CCTV7-鍥介槻鍐涗簨,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV8-鐢佃鍓ч閬�,http://112.15.230.55/PLTV/88888888/224/3221230737/index.m3u8
CCTV8-鐢佃鍓ч閬�,http://117.148.179.30/PLTV/88888888/224/3221228605/index.m3u8
CCTV8-鐢佃鍓ч閬�,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV9-璁板綍棰戦亾,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV10-绉戞暀棰戦亾,http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8
CCTV10-绉戞暀棰戦亾,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV11-鎴忔洸棰戦亾,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV12-绀句細涓庢硶,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV13-鏂伴椈棰戦亾,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14-灏戝効棰戦亾,http://117.148.179.182/PLTV/88888888/2624/3221231648/index.m3u8
CCTV15-闊充箰棰戦亾,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8
CCTV16-濂ユ灄鍖瑰厠,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226880/index.m3u8
CCTV17-鍐滄潙棰戦亾,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV17-鍐滄潙棰戦亾,http://117.148.179.17/PLTV/88888888/224/3221229765/index.m3u8
CCTV-鎬€鏃у墽鍦�,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
CCTV-绗竴鍓у満,http://117.148.179.172/PLTV/88888888/224/3221231540/index.m3u8
CCTV-椋庝簯鍓у満,http://117.148.179.162/PLTV/88888888/224/3221231604/index.m3u8
CCTV-椋庝簯瓒崇悆,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
CCTV-涓栫晫鍦扮悊,http://117.148.179.156/PLTV/88888888/224/3221231537/index.m3u8
CCTV-濂虫€ф椂灏�,http://117.148.179.167/PLTV/88888888/224/3221231598/index.m3u8
CCTV-澶鍙扮悆,http://117.148.179.167/PLTV/88888888/224/3221231616/index.m3u8
CCTV-楂樺皵澶綉鐞�,http://117.148.179.160/PLTV/88888888/224/3221231619/index.m3u8
CCTV-澶鏂囧寲绮惧搧,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CGTN,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN璁板綍,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN娉曡,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CETV1,http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8
CETV1,http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8
CETV2,http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
CETV3,http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
CETV4,http://112.15.230.48/PLTV/88888888/224/3221230334/index.m3u8
CETV4,http://117.148.179.155/PLTV/88888888/224/3221231613/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC瀹跺涵褰遍櫌,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8

馃嚚馃嚦鍗鈻閬�,#genre#

婀栧崡琛涜,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
婀栧崡琛涜,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
婀栧崡琛涜,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
婀栧崡琛涜,http://117.148.179.37/PLTV/88888888/224/3221228824/index.m3u8
姹熻槆琛涜,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
姹熻槆琛涜,http://117.148.179.37/PLTV/88888888/224/3221228821/index.m3u8
娴欐睙琛涜,http://117.148.179.24/PLTV/88888888/224/3221230035/index.m3u8
娴欐睙琛涜,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8
娴欐睙琛涜,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8
娴欐睙琛涜,http://117.148.179.37/PLTV/88888888/224/3221228837/index.m3u8
鏉辨柟琛涜,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
鏉辨柟琛涜,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8
寤ｆ澅琛涜,http://117.148.179.141/PLTV/88888888/224/3221231891/index.m3u8
寤ｆ澅琛涜,http://117.148.179.159/PLTV/88888888/224/3221231502/index.m3u8
寤ｆ澅琛涜,http://117.148.179.37/PLTV/88888888/224/3221228812/index.m3u8
娣卞湷琛涜,http://117.148.179.37/PLTV/88888888/224/3221228825/index.m3u8
鍖椾含琛涜,http://117.148.179.168/PLTV/88888888/224/3221231732/index.m3u8
鍖椾含琛涜,http://117.148.179.37/PLTV/88888888/224/3221228828/index.m3u8
澶╂触琛涜,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
澶╂触琛涜,http://117.148.179.37/PLTV/88888888/224/3221228818/index.m3u8
灞辨澅琛涜,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
灞辨澅琛涜,http://117.148.179.37/PLTV/88888888/224/3221228834/index.m3u8
灞辨澅琛涜,http://117.148.179.135/PLTV/88888888/224/3221227955/index.m3u8
婀栧寳琛涜,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8
婀栧寳琛涜,http://117.148.179.37/PLTV/88888888/224/3221228815/index.m3u8
婀栧寳琛涜,http://117.148.179.134/PLTV/88888888/224/3221231523/index.m3u8
榛戦緧姹熻瑕�,http://117.148.179.141/PLTV/88888888/224/3221231967/index.m3u8
榛戦緧姹熻瑕�,http://117.148.179.162/PLTV/88888888/224/3221231520/index.m3u8
榛戦緧姹熻瑕�,http://117.148.179.37/PLTV/88888888/224/3221228827/index.m3u8
瀹夊窘琛涜,http://112.15.230.43/PLTV/88888888/224/3221230331/index.m3u8
瀹夊窘琛涜,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
閬煎琛涜,http://117.148.179.152/PLTV/88888888/224/3221231802/index.m3u8
姹熻タ琛涜,http://117.148.179.141/PLTV/88888888/224/3221231964/index.m3u8
姹熻タ琛涜,http://117.148.179.37/PLTV/88888888/224/3221228840/index.m3u8
姹熻タ琛涜,http://117.148.179.157/PLTV/88888888/224/3221231511/index.m3u8
鍥涘窛琛涜,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
鍥涘窛琛涜,http://117.148.179.176/PLTV/88888888/224/3221231517/index.m3u8
娌冲寳琛涜,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
璨村窞琛涜,http://117.148.179.160/PLTV/88888888/224/3221231676/index.m3u8
鍗楁柟琛涜,http://117.148.179.160/PLTV/88888888/224/3221231661/index.m3u8
灞辫タ琛涜,http://117.148.179.169/PLTV/88888888/224/3221231444/index.m3u8
鏉卞崡琛涜,http://117.148.179.160/PLTV/88888888/224/3221231414/index.m3u8
闈掓捣琛涜,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
闆插崡琛涜,http://117.148.179.141/PLTV/88888888/224/3221231499/index.m3u8
娌冲崡琛涜,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
闄濊タ琛涜,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
鍚夋灄琛涜,http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
寤ｈタ琛涜,http://117.148.179.164/PLTV/88888888/224/3221231600/index.m3u8
瑗胯棌琛涜,http://117.148.179.162/PLTV/88888888/224/3221231558/index.m3u8
鍏ц挋鍙よ瑕�,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
瀵у琛涜,http://117.148.179.132/PLTV/88888888/224/3221229080/index.m3u8
瀵у琛涜,http://117.148.179.160/PLTV/88888888/224/3221231441/index.m3u8
鐢樿倕琛涜,http://117.148.179.144/PLTV/88888888/224/3221229077/index.m3u8
鐢樿倕琛涜,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
閲嶆叾琛涜,http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
鏂扮枂琛涜,http://117.148.179.183/PLTV/88888888/224/3221231451/index.m3u8
娴峰崡琛涜,http://117.148.179.155/PLTV/88888888/224/3221227912/index.m3u8
鍏靛湗琛涜,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
寤堥杸琛涜,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8

馃嚚馃嚦鍦版柟鈻閬�,#genre#
鍖椾含鏂囪棟,http://117.148.179.160/PLTV/88888888/224/3221231570/index.m3u8
鍥涙捣閲ｉ瓪,http://117.148.179.159/PLTV/88888888/224/3221231718/index.m3u8
鐠扮悆鏃呴亰,http://117.148.179.154/PLTV/88888888/224/3221231712/index.m3u8
鍢変匠鍗￠€�,http://117.148.179.144/PLTV/88888888/224/3221231483/index.m3u8
閲戦饭绱€瀵�,http://117.148.179.141/PLTV/88888888/224/3221231582/index.m3u8
姹熻槆鏁欒偛,http://117.148.179.158/PLTV/88888888/224/3221231631/index.m3u8
鍎极鍗￠€�,http://117.148.179.183/PLTV/88888888/224/3221231574/index.m3u8
灞辨澅鏁欒偛琛涜,http://117.148.179.157/PLTV/88888888/224/3221231549/index.m3u8
鏉辨柟褰辫,http://117.148.179.166/PLTV/88888888/224/3221231639/index.m3u8
涓婃捣绱€瀵︿汉鏂�,http://117.148.179.168/PLTV/88888888/224/3221231612/index.m3u8
涓婃捣閮藉競,http://117.148.179.165/PLTV/88888888/224/3221231618/index.m3u8
姝＄瑧鍔囧牬,http://117.148.179.168/PLTV/88888888/224/3221230739/index.m3u8
骞哥褰�,http://117.148.179.156/PLTV/88888888/224/3221231730/index.m3u8
鏉辨柟璨＄稉娴︽澅,http://117.148.179.176/PLTV/88888888/224/3221231646/index.m3u8
鍝堝搱鐐嫊,http://117.148.179.136/PLTV/88888888/224/3221231480/index.m3u8
鍝堝搱鐐嫊,http://117.148.179.36/PLTV/88888888/224/3221229065/index.m3u8
娉曟不澶╁湴,http://117.148.179.182/PLTV/88888888/224/3221231597/index.m3u8
BTV鏂囪壓-楂樻竻,http://v.mp.haue.edu.cn/hls/btv2hd.m3u8
BTV绉戞暀-楂樻竻,http://v.mp.haue.edu.cn/hls/btv3hd.m3u8
BTV褰辫-楂樻竻,http://v.mp.haue.edu.cn/hls/btv4hd.m3u8
BTV璐㈢粡-楂樻竻,http://v.mp.haue.edu.cn/hls/btv5hd.m3u8
婀樻江鏂伴椈缁煎悎,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
婀樻江鍏叡,http://live.hnxttv.com:9601/live/dspd/800K/tzwj_video.m3u8
鐭虫櫙灞辩數瑙嗗彴,http://live.sjsrm.com/bjsjs/sd/live.m3u8
鎴垮北鐢佃鍙�,https://live.funhillrm.com/2/playlist.m3u8
鎬€鏌旂數瑙嗗彴,http://live.huairtv.com:1935/dvrLive/hrtvmb/playlist.m3u8
閫氬窞鐢佃鍙�,http://pull.dayuntongzhou.com/live/tztv.m3u8
鍘﹂棬绉诲姩,https://xiamencncc.v.wscdns.com/atjtd/yhxmtyd_1/index.m3u8
鍘﹂棬娴峰场,https://xiamencncc.v.wscdns.com/atjtd/yhxmt2_1/index.m3u8
鍘﹂棬缁煎悎,https://xiamencncc.v.wscdns.com/atjtd/yhxmt1_1/index.m3u8
濞勫簳缁煎悎,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
娉夊窞闂藉崡璇�,rtmp://live.qztv.cn/live/mny
娉夊窞鏂伴椈缁煎悎,rtmp://live.qztv.cn/live/news
绂忓窞灏戝効,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
绂忓窞鐢熸椿,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
绂忓窞褰辫,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
绂忓窞鏂伴椈缁煎悎,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
瑗垮畨涓濊矾,http://stream2.xiancity.cn/xatv5/playlist.m3u8
瑗垮畨褰辫,http://stream2.xiancity.cn/xatv4/playlist.m3u8
瑗垮畨鍟嗗姟璧勮,http://stream2.xiancity.cn/xatv3/playlist.m3u8
瑗垮畨閮藉競,http://stream2.xiancity.cn/xatv2/playlist.m3u8
瑗垮畨鏂伴椈缁煎悎,http://stream2.xiancity.cn/xatv1/playlist.m3u8
缁嶅叴鏂囧寲褰辫,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
缁嶅叴鍏叡,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
缁嶅叴鏂伴椈缁煎悎,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
灞变笢灞呭璐墿,https://livealone302.iqilu.com/iqilu/gwpd.m3u8
灞变笢灏戝効,https://livealone302.iqilu.com/iqilu/sepd.m3u8
灞变笢鏂囨梾,https://livealone302.iqilu.com/iqilu/yspd.m3u8
灞变笢鍐滅,https://livealone302.iqilu.com/iqilu/nkpd.m3u8
灞变笢鏂伴椈,https://livealone302.iqilu.com/iqilu/ggpd.m3u8
灞变笢缁艰壓,https://livealone302.iqilu.com/iqilu/zypd.m3u8
灞变笢鐢熸椿,https://livealone302.iqilu.com/iqilu/shpd.m3u8
灞变笢浣撹偛,https://livealone302.iqilu.com/iqilu/typd.m3u8
灞变笢榻愰瞾,https://livealone302.iqilu.com/iqilu/qlpd.m3u8
姹熻タ绉诲姩鐢佃,http://149.129.100.78:88/jxtv.php?id=jxtv8
姹熻タ鏂伴椈,http://149.129.100.78:88/jxtv.php?id=jxtv7
姹熻タ灏戝効,http://149.129.100.78:88/jxtv.php?id=jxtv6
姹熻タ鍏叡鍐滀笟,http://149.129.100.78:88/jxtv.php?id=jxtv5
姹熻タ褰辫鏃呮父,http://149.129.100.78:88/jxtv.php?id=jxtv4
姹熻タ缁忔祹鐢熸椿,http://149.129.100.78:88/jxtv.php?id=jxtv3
姹熻タ閮藉競,http://149.129.100.78:88/jxtv.php?id=jxtv2
鎵窞姹熼兘,http://149.129.100.78:88/yz.php?id=4
鎵窞鐢熸椿,http://149.129.100.78:88/yz.php?id=3
鎵窞鍩庡競,http://149.129.100.78:88/yz.php?id=2
鎵窞鏂伴椈缁煎悎,http://149.129.100.78:88/yz.php?id=1
甯稿窞鍏叡,http://223.110.246.82/ott.js.chinamobile.com/PLTV/4/224/3221227905/index.m3u8
甯稿窞鐢熸椿,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227902/index.m3u8
甯稿窞閮藉競,http://223.110.246.82/ott.js.chinamobile.com/PLTV/4/224/3221227955/index.m3u8
甯稿窞鏂伴椈缁煎悎,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227899/index.m3u8
鎯犲窞鍏叡,http://livehuiz.chinamcache.com/live/zb02.m3u8
鎯犲窞鏂伴椈缁煎悎,http://livehuiz.chinamcache.com/live/zb01.m3u8
榛戦緳姹熷叕鍏卞啘涓�,http://idclive.hljtv.com:8080/live/gonggong_sd.m3u8
榛戦緳姹熸枃浣�,http://idclive.hljtv.com:8080/live/wenyi_sd.m3u8
榛戦緳姹熷皯鍎�,http://idclive.hljtv.com:8080/live/shaoer_sd.m3u8
榛戦緳姹熸柊闂绘硶娌�,http://idclive.hljtv.com:8080/live/xinwen_sd.m3u8
榛戦緳姹熼兘甯�,http://idclive.hljtv.com:8080/live/dushi_hd.m3u8
榛戦緳姹熷奖瑙�,http://idclive.hljtv.com:8080/live/yingshi_sd.m3u8
鎴愰兘灏戝効,http://149.129.100.78:88/cdtv.php?id=6
鎴愰兘鍏叡,http://149.129.100.78:88/cdtv.php?id=5
鎴愰兘褰辫,http://149.129.100.78:88/cdtv.php?id=45
鎴愰兘閮藉競,http://149.129.100.78:88/cdtv.php?id=3
鎴愰兘缁忔祹,http://149.129.100.78:88/cdtv.php?id=2
鎴愰兘鏂伴椈缁煎悎,http://149.129.100.78:88/cdtv.php?id=1
闆ㄥ煄棰戦亾,https://m3u8channel.wuxianyaan.com/cms/videos/nmip-media/channellive/channel4/playlist.m3u8
闆呭畨鍏叡,https://m3u8channel.wuxianyaan.com/cms/videos/nmip-media/channellive/channel2/playlist.m3u8
闆呭畨鏂伴椈缁煎悎,https://m3u8channel.wuxianyaan.com/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
浣涘北涓夋按,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sspd.m3u8
浣涘北楂樻槑,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_gmpd.m3u8
浣涘北鍏叡,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
浣涘北椤哄痉,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
浣涘北鍗楁捣,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_nhpd.m3u8
浣涘北褰辫,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
浣涘北缁煎悎,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
娣卞湷绉诲姩鐢佃,http://149.129.100.78:88/sztv.php?id=8
娣卞湷灏戝効,http://149.129.100.78:88/sztv.php?id=7
娣卞湷濞变箰,http://149.129.100.78:88/sztv.php?id=6
娣卞湷璐㈢粡鐢熸椿,http://149.129.100.78:88/sztv.php?id=5
娣卞湷鍏叡,http://149.129.100.78:88/sztv.php?id=4
娣卞湷鐢佃鍓�,http://149.129.100.78:88/sztv.php?id=3
娣卞湷閮藉競,http://149.129.100.78:88/sztv.php?id=2
婀栧寳褰辫,http://149.129.100.78:88/cjy.php?id=hbys
婀栧寳鐢熸椿,http://149.129.100.78:88/cjy.php?id=hbsh
婀栧寳鍨勪笂,http://149.129.100.78:88/cjy.php?id=hbls
婀栧寳鏁欒偛,http://149.129.100.78:88/cjy.php?id=hbjy
婀栧寳缁忚,http://149.129.100.78:88/cjy.php?id=hbjs
婀栧寳鍏叡鏂伴椈,http://149.129.100.78:88/cjy.php?id=hbgg
婀栧寳缁煎悎,http://149.129.100.78:88/cjy.php?id=hbzh
鏉窞瀵艰,http://112.15.230.49/PLTV/88888888/224/3221230469/index.m3u8
鏉窞闈掑皯浣撹偛,http://117.148.179.133/PLTV/88888888/224/3221229316/index.m3u8
鏉窞褰辫,http://117.148.179.133/PLTV/88888888/224/3221229377/index.m3u8
鏉窞鐢熸椿,http://117.148.179.134/PLTV/88888888/224/3221229313/index.m3u8
鏉窞鏄庣彔,http://117.148.179.135/PLTV/88888888/224/3221229310/index.m3u8
鏉窞缁煎悎,http://117.148.179.132/PLTV/88888888/224/3221229307/index.m3u8
寰愬窞鏂囪壓褰辫,http://stream1.huaihai.tv/wyys/playlist.m3u8
寰愬窞缁忔祹鐢熸椿,http://stream1.huaihai.tv/jjsh/playlist.m3u8
寰愬窞鏂伴椈缁煎悎,http://stream1.huaihai.tv/xwzh/playlist.m3u8
鑻忓窞鐢熸椿璧勮,rtmp://csztv.2500sz.com/live/c04
鑻忓窞鏂囧寲鐢熸椿,rtmp://csztv.2500sz.com/live/c03
鑻忓窞绀句細缁忔祹,rtmp://csztv.2500sz.com/live/c02
鑻忓窞鏂伴椈缁煎悎,rtmp://csztv.2500sz.com/live/c01
鍏板窞缁艰壓浣撹偛,http://39.134.39.39/PLTV/88888888/224/3221226246/index.m3u8
鍏板窞缁忔祹鐢熸椿,http://39.134.39.39/PLTV/88888888/224/3221226285/index.m3u8
鍏板窞鍏叡,http://39.134.39.39/PLTV/88888888/224/3221226244/index.m3u8
鍏板窞鏂伴椈缁煎悎,http://39.134.39.39/PLTV/88888888/224/3221226242/index.m3u8
鍗楀畞鍏叡,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
鍗楀畞褰辫濞变箰,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
鍗楀畞閮藉競鐢熸椿,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
鍗楀畞鏂伴椈缁煎悎,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
鏄嗘槑褰辫缁艰壓,https://devlivepull.migucloud.com/live/KYLNJWFD_C0_2.flv
鏄嗘槑鏂囦綋濞变箰,https://devlivepull.migucloud.com/live/6KN3ZB2S_C0_2.flv
鏄嗘槑绉戝鏁欒偛,https://devlivepull.migucloud.com/live/ZBXWIMTD_C0_2.flv
鏄嗘槑缁忔祹鐢熸椿,https://devlivepull.migucloud.com/live/JT9JEQ54_C0_2.flv
鏄嗘槑鍏叡,https://devlivepull.migucloud.com/live/UD0YLY2G_C0_3.flv
鏄嗘槑鏂伴椈缁煎悎,https://devlivepull.migucloud.com/live/01YCQY7M_C0.flv
鍚堣偉鍏叡,http://223.244.92.30:808/NlwQhy0/1000/live.m3u8
鍚堣偉鏂囦綋鍗氳,http://223.244.92.30:808/FgrhqyC/1000/live.m3u8
鍚堣偉鏁呬簨浼戦棽,http://223.244.92.30:808/52e58Sh/1000/live.m3u8
鍚堣偉鏁欒偛娉曞埗,http://223.244.92.30:808/x91Hoz8/1000/live.m3u8
鍚堣偉璐㈢粡,http://223.244.92.30:808/8Fvh9ro/1000/live.m3u8
鍚堣偉鐢熸椿,http://223.244.92.30:808/xcd72q7/1000/live.m3u8
鍚堣偉鏂伴椈,http://223.244.92.30:808/2774goN/1000/live.m3u8
婢滄箘鍥介檯,http://tvlive.ynradio.com/live/yunnanguoji/playlist.m3u8
浜戝崡灏戝効,http://tvlive.ynradio.com/live/yunnanshaoer/playlist.m3u8
浜戝崡鐢熸椿璧勮,https://hwapi.yunshicloud.com/62hdvf/180p57.m3u8
浜戝崡鍥介檯,http://tvlive.ynradio.com/live/yunnanguoji/playlist.m3u8
浜戝崡鍏叡,https://hwapi.yunshicloud.com/62hdvf/227q43.m3u8
浜戝崡濞变箰,http://tvlive.ynradio.com/live/yunnanyule/playlist.m3u8
浜戝崡褰辫,https://hwapi.yunshicloud.com/62hdvf/utrat7.m3u8
浜戝崡閮藉競,https://hwapi.yunshicloud.com/62hdvf/rjwt14.m3u8
鐢樿們鏂囧寲褰辫,http://39.134.39.39/PLTV/88888888/224/3221226287/index.m3u8
鐢樿們灏戝効,http://39.134.39.39/PLTV/88888888/224/3221226289/index.m3u8
鐢樿們缁忔祹,http://39.134.39.39/PLTV/88888888/224/3221226252/index.m3u8
鐢樿們鍏叡搴旀€�,http://39.134.39.39/PLTV/88888888/224/3221226250/index.m3u8
鐢樿們閮藉競,http://39.134.39.39/PLTV/88888888/224/3221226248/index.m3u8
娌冲寳鍏叡,http://live7.plus.hebtv.com/hbggx/playlist.m3u8
娌冲寳灏戝効绉戞暀,http://live6.plus.hebtv.com/sekjx/playlist.m3u8
娌冲寳閮藉競,http://live3.plus.hebtv.com/hbdsx/playlist.m3u8
娌冲寳鍐滄皯,http://live3.plus.hebtv.com/nmpdx/playlist.m3u8
娌冲寳缁忔祹鐢熸椿,http://live2.plus.hebtv.com/jjshx/playlist.m3u8
娌冲寳褰辫鍓�,http://live6.plus.hebtv.com/hbysx/hd/live.m3u8
绉诲姩鎴忔洸,http://149.129.100.78:88/dxxw.php?id=163
鐫涘僵涓師,http://149.129.100.78:88/dxxw.php?id=157
娌冲崡鍥介檯,http://149.129.100.78:88/dxxw.php?id=153
娌冲崡涔℃潙,http://149.129.100.78:88/dxxw.php?id=152
娌冲崡鍏叡,http://149.129.100.78:88/dxxw.php?id=151
娌冲崡鏂伴椈,http://149.129.100.78:88/dxxw.php?id=149
娌冲崡娉曟不,http://149.129.100.78:88/dxxw.php?id=147
娌冲崡姘戠敓,http://149.129.100.78:88/dxxw.php?id=146
娌冲崡鐢佃鍓�,http://149.129.100.78:88/dxxw.php?id=148
娌冲崡閮藉競,http://149.129.100.78:88/dxxw.php?id=141
娴欐睙閽辨睙棰戦亾,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
娴欐睙缁忔祹鐢熸椿,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
娴欐睙姘戠敓浼戦棽,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
娴欐睙鏁扮爜鏃朵唬,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
娴欐睙鏁欑褰辫,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
娴欐睙灏戝効,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
娴欐睙鍥介檯,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
